Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2014,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2014,Feb. 2014,Mar. 2014,Apr. 2014,May 2014,Jun. 2014,Jul. 2014,Aug. 2014,Sep. 2014,Oct. 2014,Nov. 2014,Dec. 2014,TOTAL,
448,Clothing and clothing access. stores,"15,070","17,427","19,968","20,217","21,451","18,829","19,700","21,855","18,564","20,117","23,300","32,350","248,848",
4481,Clothing stores,"10,951","11,982","14,728","14,888","15,535","13,933","14,576","15,791","13,862","15,189","17,723","22,615","181,773",
44811, Men's clothing stores,592,661,726,813,835,743,713,762,766,832,880,"1,169","9,492",
44812,Women's clothing stores,"2,693","3,096","3,909","3,984","4,191","3,563","3,574","3,894","3,664","3,940","4,365","5,606","46,479",
44814,Family clothing stores,"5,439","5,970","7,441","7,575","7,922","7,169","7,789","8,198","7,132","7,968","9,478","11,850","93,931",
44819,Other clothing stores,"1,112","1,052","1,199","1,093","1,137","1,132","1,036","1,161",913,996,"1,272","1,718","13,821",
4482,Shoe stores,"2,035","2,631","2,905","2,867","2,849","2,540","2,807","3,645","2,485","2,581","2,864","3,762","33,971",
44831,Jewelry stores,"1,889","2,609","2,143","2,275","2,828","2,163","2,128","2,224","2,028","2,158","2,506","5,563","30,514",
451,"Sporting goods, hobby, book, and music stores","5,983","5,392","6,251","6,154","6,382","6,426","6,494","8,050","6,652","6,416","7,740","11,935","83,875",
45111, Sporting goods stores,"2,657","2,726","3,441","3,399","3,549","3,796","3,714","4,245","3,398","3,322","3,826","5,776","43,849",
45112," Hobby, toy, and game stores","1,012","1,084","1,213","1,195","1,170","1,084","1,183","1,185","1,253","1,360","2,140","3,511","17,390",
451211,Book stores,"1,438",700,653,655,759,672,677,"1,615","1,022",699,704,"1,295","10,889",
452,General merchandise stores,"47,375","48,933","53,990","52,801","56,914","53,888","53,669","57,071","50,691","54,645","62,077","75,421","667,475",
4521,Department stores (excl.L.D),"10,658","11,656","13,277","13,100","14,017","13,000","12,716","14,156","12,140","13,191","16,997","23,988","168,896",
452112,Discount dept. stores,"7,169","7,554","8,593","8,418","8,962","8,470","8,473","9,424","7,839","8,542","10,607","14,181","108,232",
452111,Department stores(excl. discount department stores),"3,489","4,102","4,684","4,682","5,055","4,530","4,243","4,732","4,301","4,649","6,390","9,807","60,664",
4521,Department stores (incl. L.D.)(3),"10,879","11,886","13,539","13,361","14,301","13,270","12,974","14,440","12,334","13,467","17,320","24,462","172,233",
452112,Discount dept. stores,"7,269","7,660","8,715","8,536","9,087","8,589","8,592","9,557","7,899","8,651","10,758","14,379","109,692",
452111,Department stores(excl. discount department stores),"3,610","4,226","4,824","4,825","5,214","4,681","4,382","4,883","4,435","4,816","6,562","10,083","62,541",
4529,Other general merchandise stores,"36,717","37,277","40,713","39,701","42,897","40,888","40,953","42,915","38,551","41,454","45,080","51,433","498,579",
45291,Warehouse clubs and superstores,"32,218","32,442","35,585","34,447","37,253","35,546","35,603","37,598","33,472","35,923","39,281","44,200","433,568",
45299,All other gen. merchandise stores,"4,499","4,835","5,128","5,254","5,644","5,342","5,350","5,317","5,079","5,531","5,799","7,233","65,011",
453,Miscellaneous store retailers,"8,096","8,213","8,939","9,010","10,317","9,768","9,936","10,186","9,724","10,572","9,290","11,240","115,291",
4532,"Office supplies, stationery, and gift stores","2,470","2,394","2,440","2,429","2,545","2,404","2,704","3,163","2,721","2,988","2,554","3,555","32,367",
45321,Office supplies and stationery stores,"1,467","1,273","1,330","1,243","1,186","1,075","1,235","1,670","1,370","1,228","1,145","1,368","15,590",
45322,"Gift, novelty, and souvenir stores","1,003","1,121","1,110","1,186","1,359","1,329","1,469","1,493","1,351","1,760","1,409","2,187","16,777",
4533,Used merchandise stores,"1,151","1,199","1,379","1,370","1,397","1,347","1,448","1,475","1,417","1,538","1,367","1,349","16,437",
454,Nonstore retailers,"37,601","34,788","37,433","35,719","35,554","34,869","35,467","35,388","36,007","38,170","41,538","55,554","458,088",
4541,Electronic shopping and mail-order houses,"27,645","25,727","29,061","28,985","29,294","29,195","29,784","29,785","30,207","31,641","34,966","48,266","374,556",
45431,Fuel dealers,"6,551","5,769","4,790","3,017","2,254","1,920","1,953","1,965","2,192","2,695","3,139","3,807","40,052",
722,Food services and drinking places,"42,905","42,875","49,399","47,713","51,072","47,863","48,659","50,098","47,090","50,161","47,615","50,704","576,154",
7221,Full service restaurants,"19,366","19,409","22,190","20,671","22,282","20,604","20,966","21,836","19,836","21,235","20,755","22,947","252,097",
7222, Limited service eating places,"18,069","17,779","20,848","20,621","21,934","21,282","21,776","22,014","20,343","21,587","20,327","21,442","248,022",
7224,Drinking places,"1,696","1,685","1,968","1,804","1,979","1,835","1,827","1,911","1,818","1,972","1,830","1,883","22,208",
,ADJUSTED(4),,,,,,,,,,,,,,
," Retail and food services sales, total","418,777","424,017","429,358","433,049","433,421","435,371","436,183","438,710","437,311","439,189","441,444","437,590",,
, Retail sales and food services excl motor vehicle and parts ,"339,153","342,110","344,526","347,217","347,478","349,318","349,505","350,425","349,935","350,940","351,692","348,678",,
,"Retail sales, total","373,036","377,666","382,356","385,855","385,824","387,651","388,196","390,353","388,462","389,672","391,741","387,188",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","293,412","295,759","297,524","300,023","299,881","301,598","301,518","302,068","301,086","301,423","301,989","298,276",,
,GAFO(1),"99,974","101,294","102,055","103,429","102,748","103,093","103,463","104,064","103,610","103,892","104,528","103,885",,
441,Motor vehicle and parts dealers,"79,624","81,907","84,832","85,832","85,943","86,053","86,678","88,285","87,376","88,249","89,752","88,912",,
"4411,4412",Automobile and other motor vehicle dealers,"72,347","74,594","77,517","78,553","78,775","78,951","79,604","81,179","80,311","81,168","82,259","81,922",,
4413,"Automotive parts, acc., and tire stores","7,277","7,313","7,315","7,279","7,168","7,102","7,074","7,106","7,065","7,081","7,493","6,990",,
"442,443","Furniture, home furn, electronics, and appliance stores","16,244","16,584","16,901","17,039","16,943","17,016","16,993","17,129","17,280","17,287","17,292","17,263",,
442,Furniture and home furnishings stores,"7,710","8,013","8,076","8,197","8,162","8,179","8,172","8,269","8,236","8,312","8,318","8,435",,
443,Electronics and appliance stores,"8,534","8,571","8,825","8,842","8,781","8,837","8,821","8,860","9,044","8,975","8,974","8,828",,
44312, Computer and software stores,.,.,.,.,.,.,(S),(S),(S),(S),(S),(S),,
444,Building mat. and garden equip. and supplies dealers,"25,476","25,526","25,808","26,494","26,492","26,843","26,691","26,859","26,763","26,897","27,292","27,104",,
4441,Building mat. and supplies dealers,"21,938","21,991","22,109","22,611","22,682","23,052","23,022","23,126","23,113","23,170","23,476","23,342",,
445,Food and beverage stores,"54,466","54,343","54,518","54,707","54,776","55,381","55,297","55,505","55,714","55,848","56,030","56,322",,
4451,Grocery stores,"48,676","48,575","48,717","48,874","48,931","49,368","49,335","49,527","49,725","49,834","49,978","50,201",,
4453,"Beer, wine and liquor stores","3,977","3,972","3,971","4,010","4,002","4,131","4,074","4,072","4,090","4,100","4,104","4,131",,
446,Health and personal care stores,"24,096","24,413","24,617","24,732","25,122","25,380","25,357","25,515","25,589","25,587","25,700","25,900",,
44611,Pharmacies and drug stores,"20,246","20,342","20,421","20,641","20,826","21,100","21,171","21,216","21,274","21,234","21,285","21,609",,
447,Gasoline stations,"46,385","46,634","45,651","46,444","46,242","45,846","45,523","44,766","44,222","43,297","42,447","39,095",,
448,Clothing and clothing access. stores,"20,343","20,242","20,458","20,847","20,631","20,675","20,835","20,968","20,657","20,792","21,214","20,980",,
4481,Clothing stores,"14,682","14,549","14,813","15,174","15,048","15,045","15,161","15,329","15,175","15,277","15,687","15,479",,
44811, Men's clothing stores(5),768,803,792,776,781,784,786,815,803,798,814,796,,
44812,Women's clothing stores,"3,679","3,776","3,795","3,820","3,841","3,831","3,897","3,969","3,857","3,882","3,947","4,016",,
4482,Shoe stores,"2,807","2,860","2,837","2,881","2,815","2,841","2,870","2,845","2,786","2,799","2,813","2,824",,
44831,Jewelry stores,"2,631","2,596","2,598","2,582","2,555","2,578","2,598","2,586","2,482","2,506","2,501","2,451",,
451,"Sporting goods, hobby, book, and music stores","6,489","6,799","6,751","6,853","6,818","6,962","7,021","7,099","7,084","7,209","7,207","7,142",,
452,General merchandise stores,"54,227","54,963","55,207","56,016","55,732","55,778","55,890","56,127","55,868","55,875","56,135","55,843",,
4521,Department stores (excl. L.D.),"13,683","14,087","14,076","14,487","14,208","14,078","14,138","14,131","13,982","13,949","14,104","14,019",,
4529,Other general merchandise stores,"40,544","40,876","41,131","41,529","41,524","41,700","41,752","41,996","41,886","41,926","42,031","41,824",,
45291,Warehouse clubs and superstores,"35,288","35,533","35,872","36,146","36,133","36,271","36,293","36,503","36,383","36,433","36,540","36,319",,
45299,All other gen. merchandise stores,"5,256","5,343","5,259","5,383","5,391","5,429","5,459","5,493","5,503","5,493","5,491","5,505",,
453,Miscellaneous stores retailers,"9,266","9,286","9,519","9,358","9,468","9,642","9,701","9,845","9,704","9,894","9,771","9,804",,
454,Nonstore retailers,"36,420","36,969","38,094","37,533","37,657","38,075","38,210","38,255","38,205","38,737","38,901","38,823",,
4541,Electronic shopping and mail order houses,"28,797","29,402","30,591","30,446","30,578","31,325","31,484","31,585","31,630","32,254","32,376","32,678",,
45431,Fuel dealers,"3,958","3,909","3,942","3,464","3,310","3,102","3,076","3,028","2,942","2,876","3,018","2,749",,
722,Food services and drinking places,"45,741","46,351","47,002","47,194","47,597","47,720","47,987","48,357","48,849","49,517","49,703","50,402",,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"(S) Suppressed - Estimate does not meet publication standards because of high sampling variability (coefficient of variation is greater than 30%), poor response quality (total quantity response rate",,,,,,,,,,,,,,,
" is less than 50%), or other concerns about the estimate's quality. ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,,
"(2) With the recent Annual Revision of Monthly Retail and Food Services published on April 30, 2014, we reinstated the previously suppressed not adjusted estimates of sales for ",,,,,,,,,,,,,,,
"NAICS 44221 (Floor Covering Stores) from 2012 forward. Monthly sales estimates for 2012 were revised via benchmarking to the 2012 ARTS results. Additionally, estimates from 2013 ",,,,,,,,,,,,,,,
forward were analyzed and validated.,,,,,,,,,,,,,,,
(3) Includes data for leased departments operated within department stores.  Data for this line not included in any aggregate kind-of-business totals.,,,,,,,,,,,,,,,
"(4) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,,
"(5) With the recent Annual Revision of Monthly Retail and Food Services published on April 30, 2014, we are reinstating the previously suppressed seasonally adjusted estimates of sales",,,,,,,,,,,,,,,
for NAICS 44811 (Men_s Clothing) from January 2001 forward. ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown. ,,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html. ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
