country,date,rating,title,shit
greece,1/15/12 18:42,3,Rauf Denktash obituary,pos
ussia,11/19/07 9:00,3,Profile: Billionaire Russian oligarch and Arsenal shareholder Alisher Usmanov,pos
yemen,4/14/11 6:57,3,Libya and Middle East uprising  - live updates,pos
yemen,5/6/99 8:00,2,Yemenis face death for killing Britons,pos
canada,12/30/08 9:54,3,Canadian searchers find bodies of seven snowmobile riders after avalanche,pos
ukraine,11/21/13 16:31,2,Ukraine suspends talks on EU trade pact as Putin wins tug of war,pos
spain,3/29/03 2:03,3,Aznar faces 91% opposition to war,pos
spain,1/31/15 18:17,2,"100,000 flock to Madrid for Podemos rally against austerity",pos
yemen,2/15/11 7:55,2,Protests in the Middle East - Tuesday 15 February,pos
yemen,8/5/13 12:57,1,Yemen home to al-Qaida's most active local franchise,pos
yemen,10/2/11 16:15,3,Anwar al-Awlaki obituary,pos
sweden,11/15/10 17:42,3,Immigration: Far-right fringe exploits European coalitions,pos
greece,8/25/08 23:01,3,Taverna invasion threatens Athenian idyll,pos
ussia,11/28/01 12:43,3,Russian TV station vows to fight axe,pos
iraq,3/20/08 0:17,3,Letters: How we can avoid another Iraq disaster,pos
spain,10/9/02 9:40,3,Ghostwriters scandal haunts Spanish novelist's Nobel reputation,pos
yemen,1/14/99 16:34,2,Kidnappers' call to London imam,pos
yemen,1/6/99 12:59,2,Kidnappers were to join Yemen military,pos
ussia,8/24/06 10:51,3,Moscow blast 'targeted Asian market traders',pos
greece,7/19/04 22:58,3,Arrest in Djindjic killing case,pos
spain,8/22/08 11:22,2,Madrid airline disaster: Crashed plane suffered more than one failure,pos
ussia,7/30/02 1:21,3,Kalashnikov: 'I wish I'd made a lawnmower',pos
iraq,10/2/14 16:21,1,Isis advance sends Kurdish refugees to Turkey ahead of key vote on crisis,pos
canada,5/19/12 16:56,4,G8 summit: Barack Obama says leaders in agreement over Iran and Syria  video,pos
germany,12/20/13 13:44,3,Germans fall out of love with Lebkuchen,pos
greece,11/3/13 21:45,4,Greece relieved as troika agrees to return to country,pos
germany,1/17/03 2:12,3,Chancellor's wife denies split,pos
ukraine,10/13/06 23:11,3,Letters: Fans not neo-nazis,pos
ussia,8/16/08 14:00,3,Alan Johnson: Resist Moscow's manoeuvres,pos
greece,8/23/09 20:44,2,Greece declares state of emergency as forest fires reach Athens,pos
greece,2/12/14 0:36,2,Failed rocket attack targeted Mercedes Benz offices in Greece,pos
ukraine,4/25/14 0:09,2,Ukraine crisis: Vladimir Putin warns of 'consequences' after Slavyansk skirmish,pos
yemen,11/14/11 18:38,3,Syria hits back over Arab League suspension- Monday 14 November 2011,pos
yemen,5/24/13 20:00,3,Letters: Our use of Hellfire missiles could come back to haunt us,pos
ukraine,4/23/14 0:44,1,Ukraine president blames pro-Russian separatists for killing of politician,pos
spain,11/22/12 17:47,3,Catalan: a language that has survived against the odds,pos
spain,8/2/02 0:58,2,Bodies washed up on Spanish beach,pos
ukraine,4/15/14 21:49,1,Ukraine crisis: Kiev launches 'anti-terror operation' in east  live updates,pos
greece,1/11/11 16:32,2,US embassy cables: Greece addresses counter-terrorism shortcomings  ,pos
ukraine,6/18/12 18:53,3,Yulia Tymoshenko's daughter: bar Ukraine president from Olympics,pos
yemen,6/6/11 17:53,1,Yemeni president in Saudi hospital with 'extensive' injuries from palace attack,pos
yemen,3/10/12 12:19,1,Yemen air strikes kill 45 militants linked to al-Qaida,pos
sweden,10/3/14 13:25,4,Sweden to recognise state of Palestine,pos
yemen,9/29/11 15:06,3,"Libya, Saudi Arabia and Middle East unrest - Thursday 29 September 2011",pos
canada,8/31/12 16:32,3,Quebec police seek sticky-fingered thieves with $30m of maple syrup,pos
sweden,1/8/13 15:44,3,Elk rescued from swimming pool in Sweden - video,pos
germany,5/26/06 23:03,3,Letters: Spreading the truth about the attractions of Germany,pos
germany,9/3/14 15:43,3,Camel races planned for Munich's Theresienwiese meet resistance,pos
canada,1/29/10 23:00,3,The Beaver goes under | Richard Adams,pos
ukraine,4/25/14 16:02,3,"Russia will lose, Ukraine's former PM Yulia Tymoshenko tells Vladimir Putin  video",pos
spain,12/4/12 13:59,3,Letter from Spain: Hoping for serendipity,pos
ussia,3/26/01 12:18,3,Moscow doesn't matter any more. And neither do we,pos
yemen,3/26/15 15:29,2,Gulf states consider Yemen ground offensive to halt Houthi rebel advance,pos
spain,4/2/04 14:19,2,Spanish police find bomb on rail line,pos
sweden,12/13/10 11:12,2,Sweden suicide bomber: police search Bedfordshire house,pos
ussia,3/13/04 1:33,2,Putin accused over cost of election campaign,pos
iraq,3/16/03 2:21,2,The path to war: Saddam in power,pos
greece,5/14/10 22:16,4,Turkish PM calls for bilateral arms cuts on historic visit to Greece,pos
iraq,1/28/07 1:06,2,Protests over Iraq as US death toll rises,pos
greece,6/22/12 17:06,2,Greek government hit by double health scare,pos
sweden,12/19/10 0:07,3,Stockholm bomber's mosque website carries links to extremist preacher,pos
ussia,2/23/15 16:17,3,Ukraine separatists celebrate Soviet holiday in Donetsk,pos
ukraine,7/22/14 19:12,3,Ukraine's 'hotheads' | @guardianletters,pos
spain,12/3/10 21:30,3,US embassy cables: Spain's 'profound' regret that Obama won't visit,pos
spain,11/16/04 23:57,3,Spy who came back from the dead,pos
sweden,8/23/14 12:40,3,Sweden's Strictly star adds charisma to feminist push for parliament,pos
spain,1/29/04 2:56,3,"Better sex writing please, we're Spanish",pos
spain,11/30/14 18:00,3,"Hardline Australia, confused Scandinavia and tense Russia: the global immigration picture",pos
canada,10/7/11 14:50,3,'Win a baby' competition criticised by fertility groups,pos
greece,6/8/12 9:44,3,Greek politician hit by Golden Dawn MP lambasts far-right party - video,pos
greece,10/22/13 15:58,3,Greece's Roma community criticises police for taking mystery girl Maria - video,pos
sweden,6/10/14 9:00,4,"All in the same boat: Cameron talks about EU reform at summit with German, Swedish and Dutch leaders  video",pos
ukraine,1/21/06 0:07,2,Mark Almond: Russia is in retreat,pos
sweden,4/16/10 17:28,2,Ash cloud over Europe causes worst travel chaos since 9/11,pos
canada,9/18/13 16:16,2,Train and bus crash in Ottawa - in pictures,pos
germany,4/16/10 17:57,3,German court fines British bishop for Holocaust denial,pos
iraq,7/22/05 1:42,2,"Iraqi forces nowhere near being able to fight insurgency on their own, Senate told",pos
iraq,1/1/13 7:00,3,Iran: another year on the edge of the volcano,pos
canada,6/19/12 11:27,3,Body parts suspect extradited to Canada  video,pos
germany,12/18/08 0:01,2,Alert over neo-Nazi numberplates,pos
ukraine,10/3/07 23:01,3,Yushchenko seeks to make allies of old enemies,pos
germany,8/8/14 17:15,3,Wake-up call for Brits as Germans refuse to take towel jibes lying down,pos
ussia,7/19/14 15:58,2,MH17:  Ukraine claims 'compelling evidence' of Russian involvement,pos
greece,4/30/13 19:22,2,Greece suffers more misery as retails sales slump by nearly a third,pos
greece,12/13/08 0:01,2,One of the student leaders behind protests in Greece gives her account of the week,pos
spain,12/28/10 17:19,3,Cannabis clubs plug a gap in Spanish drugs laws,pos
germany,11/18/13 20:07,3,Germany to vote in favour of more women in the boardroom  ,pos
greece,9/25/13 9:13,3,Racist attacks in Greece: interactive map,pos
germany,9/10/02 13:49,3,Pulling victory from the jaws of disaster,pos
canada,8/22/11 20:34,3,Jack Layton's legacy to Canada | Colin Horgan,pos
canada,6/6/11 17:42,4,Iran court quashes death sentence in 'porn' case,pos
yemen,2/3/13 13:38,3,Lion breeder in Yemen cashes in on Gulf demand for exotic pets,pos
canada,5/30/12 20:43,3,Former porn actor suspected of mailing body parts to Canadian politicians,pos
yemen,6/5/11 15:11,4,Yemenis celebrate  departure of President  Saleh  in pictures,pos
ukraine,12/7/04 0:01,3,Mark Almond,pos
ukraine,5/22/14 0:14,3,US vice-president Joe Biden pushes energy cooperation in visit to Cyprus,pos
ukraine,11/18/14 10:50,2,Putin says west is provoking Russia into new cold war as spies deported,pos
iraq,1/6/03 12:14,3,Full text: Saddam Hussein's speech,pos
spain,2/13/04 2:51,3,Anger at invitation to contemporary artist,pos
ukraine,2/25/14 16:25,3,Ukrainian MPs vote to send Viktor Yanukovych to The Hague  video,pos
sweden,9/23/09 15:44,3,Helicopter gang raids cash depot in Sweden from above,pos
sweden,6/22/10 14:21,3,Swedish Crown Princess Victoria's wedding reigns on Stockholm parade,pos
greece,2/23/10 19:07,2,Protesters blockade Athens stock exchange,pos
canada,8/7/13 13:25,3,Relative of boys killed by python describes their last day - video,pos
ukraine,2/19/14 13:24,3,IOC bans Ukraine's athletes from wearing black armbands at Sochi,pos
germany,6/6/11 13:39,3,"E coli outbreak 'trail' leads to German bean sprouts, authorities say",pos
germany,11/17/13 14:35,3,Munich art hoarder: 'All I wanted to do was live with my pictures',pos
greece,2/1/15 21:52,4,Greek minister to meet George Osborne about proposed debt deal,pos
iraq,5/6/05 23:04,1,58 die in car bombing at Iraqi market,pos
canada,9/13/14 15:32,3,Canada uses Franklin expedition wreck to boost North-West Passage claim,pos
greece,12/14/09 20:34,3,Papandreou unveils radical reforms to salvage Greece's public finances,pos
yemen,8/3/13 13:49,2,Yemeni soldiers protest against late salary payments - video,pos
sweden,1/2/14 4:52,3,Reindeer herds in danger as Australia's mining boom comes to Sweden,pos
iraq,5/26/04 12:18,2,Troops capture al-Sadr aide,pos
spain,3/1/05 0:01,3,Cattle virus threatens bull runs,pos
sweden,7/30/11 19:18,3,Europe's anti-immigrant movements,pos
spain,8/12/04 22:50,3,Fighter jets scrambled in alert over unresponsive airliner,pos
canada,7/10/13 18:31,4,Walmart and Gap back plan to improve Bangladesh garment factory safety,pos
ukraine,3/17/14 11:25,2,Moscow's Crimea success could lead to it redrawing Ukraine's eastern border,pos
sweden,1/14/15 20:09,3,Swedish childrens TV dancing genitals cartoon sparks parental outcry,pos
iraq,3/15/03 14:16,3,"Military action more likely, says Straw",pos
germany,5/16/13 22:14,2,Germany fears return of European jihadists in Syria,pos
greece,8/4/11 21:00,3,Athens is plastered with one message: enoikiazetai. To let,pos
spain,10/19/04 22:56,3,Chefs cleared of links to Eta arms found in France,pos
sweden,3/9/15 18:04,3,Swedish frustration with Saudis over speech may jeopardise arms agreement,pos
canada,4/29/14 17:46,3,Bill Ash obituary,pos
iraq,2/5/07 12:51,2,British soldier killed in Basra blast,pos
ukraine,4/7/14 20:32,3,William Hague warns Russia not to 'meddle in the affairs of Ukraine' - video,pos
iraq,10/16/02 0:55,3,Email push bowls Hollywood over,pos
ukraine,10/18/11 15:09,2,Ukraine president faces EU protests over jailing of opposition leader,pos
sweden,11/9/12 14:34,2,Security guard shot dead at Swedish PM's official residence,pos
yemen,1/4/13 16:47,2,Syria conflict: Hezbollah calls for political settlement - Friday 4 January 2013,pos
ussia,2/8/13 22:41,4,Obama ready to cut strategic nuclear arsenal 'by a third',pos
germany,12/14/02 1:23,3,Nightmare before Christmas,pos
iraq,5/24/04 11:00,2,Doubts cast over Arab leaders' resolution to reform,pos
spain,2/5/12 0:06,3,Trial of judge Baltasar Garz—n splits a Spain still suffering civil war wounds,pos
spain,12/3/04 19:34,2,Explosions rock Madrid,pos
germany,1/22/04 14:38,3,Mugabe to enter crisis talks with opposition,pos
germany,8/11/14 12:51,3,Photo highlights of the day,pos
sweden,10/27/11 18:06,3,"Hacker leaks 90,000 passwords as a warning to 'naive' Swedes",pos
ukraine,12/8/14 13:53,3,Russias tough rhetoric over Ukraine does not tell the whole story,pos
spain,9/1/03 1:13,3,Aznar names his successor,pos
ukraine,6/21/14 15:12,2,Eastern Ukrainian separatists defy the president's peace plan - video,pos
yemen,12/30/09 18:48,2,"Bomber linked to London extremists but radicalised in Yemen, officials say",pos
sweden,5/28/13 17:26,2,Iran opposition figures unite to condemn election as a charade,pos
yemen,2/22/11 8:53,1,Libya erupts as Gaddafi clings on - live updates,pos
ukraine,4/26/06 23:13,3,Gorbachev in row on 20th anniversary of Chernobyl disaster,pos
ukraine,6/11/14 10:41,3,Why Washington must try harder to understand the Kremlin,pos
ussia,3/5/03 10:48,3,Stalin's reputation as a ruthless master of deception remains intact,pos
spain,12/15/08 0:01,3,Theft and financial blunders take shine off Bilbao's Guggenheim,pos
ussia,11/12/82 10:24,3,Brezhnev's policies to live on,pos
iraq,3/24/03 3:52,3,Bush to ask for $80bn war chest,pos
iraq,8/20/02 13:02,2,US slashes Iraqi oil imports,pos
iraq,10/28/02 1:43,2,"Serbs helping Iraq build cruise missile, US says",pos
ussia,4/20/02 0:38,3,Moscow on alert for race rampage,pos
greece,7/31/11 20:03,2,Greece debt crisis: The 'we won't pay' anti-austerity revolt,pos
sweden,1/14/13 11:23,3,Animal rights activists plan direct action against beagle imports,pos
greece,2/16/15 20:54,3,Brussels' blunt bargaining presents austerity as Greece's only option | Phillip Inman,pos
ussia,5/8/08 14:36,3,Putin ever present as Medvedev becomes president,pos
germany,10/7/07 13:42,3,"America's creative elite invade Berlin, city of cool",pos
ukraine,8/29/14 15:10,3,Nato faces critical test of credibility,pos
ukraine,3/6/15 11:40,3,A foodie's guide to salo: the Ukrainian delicacy made of cured pork fat,pos
ukraine,2/7/14 19:25,2,Passenger tries to hijack plane bound for Istanbul and divert it to Sochi,pos
germany,3/1/04 14:30,3,The chancellor is not for turning ,pos
sweden,10/25/10 20:55,3,Gang joins Swedish police in hunt for man suspected of racist attacks,pos
germany,1/19/00 18:05,3,Deeper into the mire ,pos
germany,9/10/07 23:16,4,Leaders unite on policy,pos
canada,10/11/11 13:06,3,French speakers want more backing from Paris,pos
iraq,6/5/03 12:34,3,"<B>Army Private 1st Class Howard Johnson II, 21</B><BR>",pos
ussia,3/26/14 14:42,2,"Ukraine crisis: EU is drafting powerful sanctions against Russia, says Cameron",pos
ukraine,4/23/14 16:55,3,Putin's military exercises are more than a game,pos
ukraine,2/22/14 20:30,3,Ukraine Q&amp;A: what happens now?,pos
ukraine,5/16/12 19:30,3,Marcel Theroux on Ukraine's homeless children - video,pos
canada,4/3/14 20:15,3,Toronto mayoral election: who can challenge Rob Ford?,pos
yemen,12/3/10 21:30,3,Embassy cables: Yemen president says foreign forces are wrecking his country,pos
ussia,8/14/09 6:51,3,Mark Hollingsworth reveals how London became home to Russias wealthy elite,pos
greece,2/27/12 18:52,3,Angela Merkel: no guarantee Greek bailout will work  video,pos
iraq,5/17/04 0:59,3,Who commands the private soldiers?,pos
yemen,10/31/12 23:02,3,Cycling in Yemen: an uphill struggle against insurgency and ignorance,pos
canada,12/14/10 20:33,3,"US embassy cables: Terror suspects, Canada and the law",pos
germany,8/17/05 23:53,3,Merkel parades shadow cabinet as election nears,pos
greece,8/2/11 14:56,3,What can the Ancient Greeks teach us?,pos
germany,9/10/03 1:42,3,Obituary: Leni Riefenstahl,pos
spain,4/10/02 1:45,2,Spain moves to ban Basque separatist party,pos
ussia,11/23/12 8:07,3,Andrei Sannikov: democratic world is too complacent about Belarus,pos
germany,9/6/07 9:35,3,German police hunt for terror plot 'back-up team',pos
spain,4/5/04 1:02,4,Suspected Eta leaders arrested,pos
greece,1/11/11 15:44,3,US embassy cables: Greece tackles migration and asylum issues,pos
germany,9/10/03 1:42,3,Obituary: Leni Riefenstahl,pos
ussia,1/14/14 11:47,3,Russia expels US journalist David Satter without explanation,pos
ussia,8/11/08 15:15,3,Gordon Brown calls on Russia to end military action against Georgia,pos
yemen,6/25/14 19:01,3,Yemeni judge orders that 'disappeared' US citizen be produced in court,pos
canada,6/5/12 12:34,3,Luca Rocco Magnotta arrested in Berlin internet cafe  video,pos
yemen,3/20/15 19:12,1,Yemen suicide bombings leave over 130 dead after mosques targeted,pos
greece,11/21/12 20:14,3,Anger in Athens at further delay in emergency aid for Greece,pos
spain,4/29/04 15:53,3,Stereotypes shattered,pos
ukraine,5/31/14 15:50,2,Guns and fighters seep through Ukraine's porous Russian border,pos
yemen,5/26/11 23:31,1,Yemen edges closer to civil war as tribal leader takes fight to Saleh,pos
spain,11/22/12 19:30,3,Catalonia tales: your views on the vote for independence | Jon Henley  ,pos
sweden,3/9/10 16:15,3,Seven arrested over alleged plot to kill cartoonist over Muhammad drawing,pos
iraq,11/27/02 2:33,3,Leader: This must not be the last word on Iraq,pos
yemen,10/10/08 23:01,1,100 Somalis feared dead off Yemen coast,pos
ukraine,4/5/11 8:57,3,Ukraine's lost children - video,pos
yemen,5/2/11 19:16,4,Saudi Arabia: Bin Laden death will help wipe out 'deviant thought' of terrorism,pos
ussia,4/14/14 15:20,3,Ukraine crisis: five possible scenarios,pos
spain,3/6/08 0:05,3,Stalled economy centre stage in Spanish poll,pos
greece,7/21/13 16:14,3,Greeks plan protests against Sunday trading,pos
ukraine,9/26/09 23:06,3,Ukraine's Got Talent winner brings nation to tears,pos
canada,10/18/11 13:13,3,"Letter from Canada: Yellowknife, gateway to the Arctic",pos
greece,6/15/12 13:55,2,In pictures: Greek health service in crisis,pos
greece,1/22/12 19:58,2,Greek debt talks on knife-edge amid growing IMF pressure on bondholders,pos
ukraine,3/6/15 14:12,3,Alexei Navalny: Russian opposition is not deterred by Boris Nemtsov murder,pos
germany,8/7/14 13:56,3,German shooting champion nearly loses title for being Muslim,pos
spain,1/14/04 14:37,3,Dali biographer seeks peace in battle for rights,pos
spain,4/29/14 17:27,3,Spanish government to face court after policing award given to the Virgin Mary,pos
ussia,7/11/13 15:42,3,Russian guard service reverts to typewriters after NSA leaks,pos
greece,3/22/08 0:00,4,Cyprus takes step towards reunification,pos
germany,2/23/05 15:39,4,Bush calls for united stance on Iran,pos
sweden,10/3/14 13:25,4,Sweden to recognise state of Palestine,pos
iraq,4/29/04 11:10,3,BP ready to quit in blow to rebuilding hopes,pos
greece,10/29/12 19:44,2,Greek journalists warn over press freedom,pos
greece,4/3/08 23:26,3,Cyprus: Crossing the dead zone for coffee - a historic moment for divided island,pos
yemen,10/6/10 7:10,2,Britain's deputy ambassador to Yemen survives rocket attack,pos
iraq,6/12/13 11:32,3,Iran's Saeed Jalili: anointed successor or convenient bogeyman?,pos
yemen,12/6/10 21:30,3,US embassy cables: US requests access to Yemen airspace to monitor arms smugglers,pos
ussia,10/28/03 2:35,3,Putin backs tycoon's arrest as shares slump,pos
germany,3/24/04 2:33,3,"We're being fiddled, say violinists",pos
spain,3/28/11 7:00,3,"Spain in lists: Chart-topping singles, favourite TV programmes and bestselling books",pos
yemen,3/8/11 18:12,3,Assault on Zawiyah - Tuesday 8 March,pos
sweden,12/22/10 12:37,3,US embassy cables: Sweden's concerns about Anti-Counterfeit Trading Agreement negotiations,pos
germany,12/25/12 19:00,3,"Car pollution, noise and accidents 'cost every EU citizen £600 a year'",pos
iraq,6/21/07 21:52,2,Pentagon recognises psychological damage to troops,pos
spain,1/24/09 15:19,2,Death toll rises as storms batter Mediterranean,pos
spain,3/12/04 2:30,1,Massacre in Madrid,pos
canada,7/12/11 8:55,3,Eyewitness: Catching calves,pos
ussia,10/12/02 1:14,3,Talk the walk ,pos
ukraine,8/30/14 14:38,3,Vladimir Putin says Ukraine's actions reminiscent of Nazi siege - video,pos
canada,5/2/12 12:30,3,Quebec student protests mark 'Maple spring' in Canada | Martin Lukacs,pos
ussia,6/5/12 17:57,3,Spanish anger at cut-price Olympic kits,pos
canada,10/22/14 20:26,3,Sergeant-at-arms hailed as Canadian hero shows role is not just ceremonial,pos
spain,12/24/00 0:54,3,Comment: Comfort out in the cold for ETA and the IRA,pos
canada,9/5/12 12:44,2,Quebec shooting rekindles fears over Anglo-French divide,pos
iraq,12/27/04 3:06,3,"Naomi Klein: Yes, you must pull out - but also pay for the damage",pos
ussia,4/20/03 2:30,3,Russian murderer killed by the book,pos
germany,3/12/09 0:01,3,Demjanjuk faces fresh trial in Germany for Nazi-era crimes,pos
sweden,12/9/10 21:30,3,"US embassy cables: Intentional plan to decentralise Kosovo won't work, says EU official",pos
germany,11/28/12 18:04,3,German man locked up over HVB bank allegations may have been telling truth,pos
ukraine,3/24/05 2:44,3,Voters 'prefer' Ukraine to Turkey,pos
spain,3/13/04 1:35,3,Basque country's relief at Eta denial,pos
ukraine,4/17/14 14:37,2,Putin asserts right to use force in east Ukraine,pos
yemen,1/29/99 3:24,2,Britons 'tortured' by Yemenis,pos
sweden,10/20/12 11:14,3,Gaza-bound ship Estelle intercepted by Israeli forces,pos
spain,2/19/13 18:29,3,Spanish property slump pushes Reyal Urbis over the edge,pos
ussia,8/27/14 13:53,2,Russia accused of new military incursions into Ukrainian territory,pos
sweden,10/14/10 23:05,3,Letters: Sweden and the Jews,pos
germany,1/21/08 8:28,3,German historian likens Cruise speech to Goebbels,pos
spain,12/17/07 23:59,3,Minister tells Spaniards to curb lavish tips,pos
ukraine,8/11/13 22:18,3,Kiev's dog hunters go on the attack to rid the city of strays,pos
greece,3/21/12 19:40,3,Greece promotes former banker to finance minister,pos
sweden,12/10/14 8:07,3,Shrien Dewani back in UK after honeymoon murder trial collapse,pos
ussia,11/26/07 15:41,3,Q&A: Russian election,pos
ussia,9/11/13 16:42,4,Syrian chemical weapons: Russia hands disarmament plan to US,pos
iraq,1/23/03 1:58,3,American support for Bush and war starts to slide in poll,pos
yemen,6/30/09 8:37,3,Deadliest plane crashes in recent history,pos
iraq,2/13/07 17:08,3,Iraq announces new security measures,pos
ukraine,12/6/04 0:02,3,David Hearst: We need to accept that Ukraine is multi-ethnic,pos
yemen,4/14/03 0:46,2,Police held for al-Qaida escape,pos
ukraine,3/20/14 13:37,2,"Ukraine boosts case for nuclear weapons, say Trident supporters",pos
ukraine,2/16/15 19:30,3,"West must learn to live with Putin, former MI6 head warns",pos
iraq,5/19/04 1:10,3,Press review: Salim assassination,pos
ussia,9/2/04 23:23,2,Long wait raises dread of a bloody end,pos
germany,10/24/05 23:04,3,Last secrets of Nazi terror - an underground labour camp,pos
